Set,Real,y_pred_random_forest
Train,1,2.693774660004004
Train,1,2.5639856262929728
Train,4,2.7181497707427793
Train,4,2.69582026914423
Train,4,2.757785794897243
Train,3,2.6664162347279734
Train,4,2.819829645076373
Train,3,2.705569609871505
Train,2,2.6908385832684996
Train,2,2.7390779384047397
Train,2,2.599300503967643
Train,5,2.756729093242134
Train,2,2.5950638610580965
Train,2,2.661746571297057
Train,3,2.7228137249559126
Train,4,2.7231566593314938
Train,5,2.6716433578827945
Train,3,2.7316111057470165
Train,3,2.727082122435741
Train,6,2.7533489716248143
Train,5,2.702800415870281
Train,2,2.6116872115011263
Train,5,2.800470918697526
Train,0,2.5929383358125735
Train,1,2.648797594736897
Train,4,2.6411243895147156
Train,0,2.665820451830647
Train,2,2.7026660115283594
Train,1,2.5899567045494147
Train,6,2.7329088881092582
Train,4,2.738809693996469
Train,1,2.641468121629846
Train,1,2.663302984902017
Train,4,2.7639639687772823
Train,1,2.661378514135743
Train,4,2.727541304822088
Train,0,2.565389297862481
Train,5,2.725402077739973
Train,5,2.705358918970392
Train,2,2.5942379538937246
Train,3,2.7085095683440272
Train,0,2.680849611931594
Train,3,2.7665635707824148
Train,6,2.7264898363064476
Train,0,2.6798295159160705
Train,2,2.6840600297331356
Train,0,2.5919971660821726
Train,6,2.6134349688207434
Train,5,2.6379888571324197
Train,2,2.6529886396559927
Train,4,2.7207283804556313
Train,6,2.7142231293164825
Train,3,2.70275083759875
Train,4,2.7427017888661016
Train,6,2.7272445687286235
Train,2,2.560788638410274
Train,2,2.719405839607943
Train,6,2.739803480408751
Train,1,2.6785418784780664
Train,1,2.700662958372504
Train,1,2.6418984916669728
Train,6,2.735344191793774
Train,0,2.5477482751076526
Train,1,2.7476734366722364
Train,0,2.585884202052161
Train,2,2.7062116658740467
Train,1,2.6356742009403353
Train,0,2.568176756400322
Train,4,2.6835661181952033
Train,5,2.603731661455693
Train,2,2.719362684713227
Train,2,2.6787041920650045
Train,2,2.63851974525988
Train,0,2.616575273712414
Train,0,2.4413213913781444
Train,1,2.7091967180799355
Train,2,2.639062019885767
Train,0,2.6440966932585344
Train,4,2.6151188439002317
Train,2,2.6843048760073422
Train,5,2.748521749374531
Train,0,2.6132349481244903
Train,5,2.6257860320996933
Train,4,2.718195189435607
Train,1,2.6653081135844365
Train,1,2.733845225580824
Train,3,2.646335593355381
Train,6,2.6596313352295993
Train,1,2.438884939094009
Train,5,2.5566293185176985
Train,3,2.6963788850259727
Train,4,2.7517307971460316
Train,2,2.692509913977497
Train,3,2.681873447399502
Train,4,2.674583897893246
Train,4,2.75694026852685
Train,1,2.5376076339597957
Train,5,2.7621485612971974
Train,2,2.6668941506337682
Train,5,2.7803867439519205
Train,0,2.588819930756989
Train,5,2.7255763374271544
Train,1,2.634261812176845
Train,5,2.675271151661734
Train,4,2.6524615441285193
Train,4,2.6765365333920563
Train,1,2.6488051640441688
Train,6,2.7991910733366336
Train,4,2.62716982426535
Train,0,2.5650405973871644
Train,1,2.6082244489892945
Train,2,2.7497030850536857
Train,1,2.6344298695073722
Train,1,2.739269126918206
Train,2,2.666173564936243
Train,2,2.634494927175285
Train,2,2.6603875689957204
Train,3,2.652377238153124
Train,2,2.7421555242001237
